O0,O1,O2,O3,Os,Ofast,Optimizers,Parameters
3774183.879,2710255.434,2625599.717,2555608.692,2585923.315,2486518.68,2458073.611,1382863.852
3786394.082,2662538.71,2581396.713,2613984.757,2599827.892,2448067.562,2481123.537,1365715.94
3735159.127,2671977.704,2577855.236,2557972.311,2587969.845,2455606.906,2474011.897,1368731.637
3791045.56,2663731.074,2575873.567,2591252.214,2598441.048,2475023.862,2453459.49,1429527.9
3735505.858,2662152.321,2587654.054,2561742.277,2631125.301,2457039.948,2489415.707,1395776.372
3742554.486,2659362.939,2592419.567,2583813.534,2586875.977,2475945.424,2510631.355,1492815.908
3774218.623,2668598.92,2584220.053,2557307.5,2646525.192,2447236.508,2463072.319,1385723.43
3723147.009,2692626.038,2587034.552,2594065.27,2626567.297,2454229.145,2449582.643,1422244.528
3793396.16,2661000.374,2610937.362,2557696.774,2603004.466,2465747.512,2485038.499,1377598.575
3748101.083,2661707.397,2586116.135,2584113.195,2592211.16,2460939.343,2458549.082,1409904.277
3737670.091,2674254.414,2624303.985,2590108.961,2601787.491,2456357.047,2454285.5,1384131.322
3732564.062,2660377.905,2579936.614,2556236.677,2627449.164,2483173.186,2455658.783,1391405.939
3722754.123,2705045.052,2629595.539,2592286.175,2596741.524,2463310.144,2451365.247,1405969.586
3732699.395,2668095.269,2582104.336,2554567.32,2623458.434,2500060.227,2478463.293,1417281.383
3737173.145,2710178.109,2616188.188,2559426.371,2595781.976,2452350.347,2448687.624,1406067.327
3760396.04,2659666.241,2585873.546,2570201.055,2594813.228,2455489.58,2449103.26,1375347.43
3732662.272,2703607.423,2629774.389,2550338.982,2593655.472,2490096.301,2477968.367,1396652.48
3789366.624,2673371.608,2624948.292,2585329.114,2595510.749,2447606.753,2475423.636,1374770.38
3784676.295,2659736.499,2572926.736,2551117.736,2599518.575,2456774.847,2479398.899,1396111.773
3735013.318,2710417.926,2604539.137,2555509.281,2633045.386,2485900.795,2456427.74,1380870.482
3788767.544,2661290.523,2579298.937,2590575.51,2596257.739,2454785.363,2470748.757,1402034.396
3744097.21,2674974.42,2614690.602,2555903.399,2639245.291,2445313.19,2444691.403,1369457.836
3782408.388,2664124.339,2616949.891,2552733.231,2628898.251,2478888.947,2447968.874,1374289.958
3809428.757,2663634.724,2608191.93,2559824.037,2632959.101,2481522.067,2450369.235,1379790.513
3779176.91,2703419.198,2617734.443,2559695.62,2591123.247,2502897.958,2549411.345,1366152.481
3734893.426,2665962.317,2569393.894,2593646.252,2593732.028,2447008.674,2455153.696,1416691.674
3796823.912,2705788.909,2590850.493,2557325.596,2587793.765,2453947.534,2493195.383,1377394.309
3736248.833,2665960.374,2574021.512,2606948.502,2615770.844,2486658.85,2492234.987,1367910.693
3784183.436,2670253.026,2587490.57,2600627.195,2632616.542,2454398.227,2506289.472,1397722.098
3732932.395,2698342.135,2581891.784,2620691.912,2598027.09,2448665.673,2448449.28,1367223.624
3730887.906,2663105.629,2591695.233,2548161.176,2632235.447,2481224.564,2486586.317,1424956.411
3811813.087,2708225.317,2593690.294,2560270.186,2643467.544,2454080.602,2448047.877,1371874.105
3742163.786,2660955.217,2577036.376,2548703.851,2587990.638,2454653.869,2454762.459,1370868.503
3724156.6,2697576.881,2619501.062,2581998.405,2585963.696,2463697.767,2453831.149,1401721.03
3739529.958,2674858.249,2581788.523,2559939.058,2591148.514,2447769.359,2451533.589,1388123.205
3729560.66,2696309.274,2580031.392,2556917.308,2588432.228,2451330.798,2495977.703,1383549.502
3779716.285,2694292.827,2586851.286,2564027.439,2599962.616,2474258.725,2458575.646,1399411.921
3738456.716,2699157.503,2580068.256,2559606.503,2589248.366,2500119.857,2495097.495,1374916.923
3791152.271,2703762.623,2609554.278,2560550.791,2591118.721,2475049.516,2454832.654,1377556.543
3774557.345,2665929.851,2580903.083,2556251.624,2622204.746,2454330.612,2449379.665,1385927.565
3742502.548,2667123.653,2620299.019,2603926.475,2595172.184,2474943.475,2498298.998,1371291.665
3745548.933,2685252.769,2578669.017,2567646.381,2630792.558,2449011.889,2448701.325,1389000.809
3802840.908,2664023.81,2617888.734,2560165.521,2595228.725,2482612.483,2447095.387,1387214.288
3746950.729,2707783.535,2621949.007,2550080.346,2591522.31,2457367.813,2480021.379,1374831.498
3771891.203,2665757.559,2590300.305,2594083.126,2645961.699,2456516.826,2482817.675,1396513.519
3744074.464,2714442.317,2582479.002,2567945.378,2589213.005,2452335.832,2452524.631,1364649.613
3739664.43,2667282.688,2583472.305,2558010.861,2596253.632,2526845.397,2477213.089,1378197.128
3775493.353,2666069.497,2618141.885,2561501.648,2593656.33,2476040.258,2454838.722,1376030.057
3737493.973,2669734.794,2588762.316,2559492.548,2591782.507,2451162.841,2476186.537,1368359.04
3787934.194,2660833.258,2605624.024,2552062.462,2618357.405,2485036.141,2450944.659,1374503.334
3792563.713,2669746.789,2581208.494,2581171.759,2639469.956,2451122.825,2447661.995,1396715.545
3834422.717,2665207.868,2585198.556,2588880.932,2650453.795,2490241.747,2486462.645,1368027.799
3740161.081,2662311.3,2619890.712,2560391.152,2619662.907,2453256.475,2452252.527,1372837.5
3783113.586,2675208.157,2594814.023,2555159.012,2599772.359,2486181.158,2456047.74,1361866.275
3730732.947,2671694.609,2588002.938,2551823.182,2592079.36,2456538.584,2485510.361,1375235.985
3751814.057,2675846.104,2619113.444,2555963.303,2591205.416,2477740.708,2444257.53,1369880.492
3738542.177,2696077.317,2574852.891,2600611.226,2625597.148,2450059.78,2460016.774,1397759.324
3725733.318,2664064.481,2614782.006,2562698.051,2597877.136,2477563.442,2496575.068,1368579.549
3796201.846,2660104.658,2616902.766,2559230.052,2604165.198,2449342.328,2446399.8,1383194.017
3782601.452,2666089.728,2577215.704,2556207.718,2590060.394,2460436.467,2449341.051,1366389.787
3800048.027,2701401.805,2612140.317,2566686.021,2595307.443,2489997.591,2451731.828,1372714.311
3731155.208,2674548.81,2578224.417,2560095.237,2587131.279,2490416.788,2484718.164,1366011.763
3775691.108,2695261.977,2605694.052,2561320.31,2596180.715,2485496.865,2449093.383,1361513.319
3743410.74,2708849.059,2580773.883,2580230.469,2600655.803,2461032.3,2453457.008,1366122.556
3774094.86,2663908.236,2585385.675,2586205.612,2658416.731,2482111.838,2452013.419,1380636.922
3780975.425,2701257.789,2624626.512,2561599.4,2638346.984,2455888.318,2450044.998,1374393.327
3728347.84,2662995.874,2763070.448,2595097.532,2593987.692,2483394.964,2486727.417,1366105.525
3794342.412,2678568.428,2623130.997,2555179.098,2625626.246,2457073.861,2450661.207,1390905.556
3741329.637,2690937.241,2619905.363,2553685.256,2593406.367,2489192.711,2454661.221,1387592.054
3721576.704,2666142.695,2618405.434,2554880.328,2621039.37,2449294.289,2455498.736,1368195.258
3774047.664,2676501.137,2583218.018,2594993.591,2618036.451,2485899.637,2457818.305,1405838.174
3790504.178,2698849.281,2578785.312,2555357.695,2602616.129,2454958.988,2449273.286,1363901.58
3804356.495,2666790.907,2574596.089,2591178.131,2600745.374,2478409.539,2491139.43,1416706.359
3744106.38,2665066.359,2619337.92,2610694.395,2619845.924,2452779.438,2452831.737,1374299.543
3778151.232,2659832.689,2580803.973,2616773.256,2601943.076,2494346.495,2446357.034,1379650.852
3742692.936,2664764.957,2590846.909,2550197.801,2632167.94,2497129.627,2449285.681,1371763.087
3833841.266,2670969.427,2603553.556,2553923.96,2601624.965,2448966.918,2473190.253,1412808.708
3794300.608,2669092.996,2582722.814,2555958.045,2643403.2,2461408.263,2474396.583,1367720.793
3778754.28,2663675.292,2612883.638,2591709.491,2598168.173,2450608.59,2450940.736,1434834.351
3738028.599,2667335.674,2613278.763,2603271.693,2634955.703,2480081.393,2455125.893,1407624.996
3737029.894,2661014.117,2584002.137,2554001.588,2619539.249,2454098.592,2495718.367,1366587.122
3739577.616,2664585.622,2610851.657,2560784.07,2586994.088,2456297.18,2449473.94,1418482.275
3732002.193,2668048.898,2620137.645,2560978.11,2588751.646,2447644.386,2450279.698,1402272.904
3791471.191,2664260.739,2585389.143,2586351.498,2599033.877,2448633.608,2453684.254,1366378.657
3732870.93,2692648.29,2630204.511,2559052.753,2592961.169,2448671.391,2450171.188,1370310.227
3793688.116,2666767.677,2580230.423,2553098.555,2612230.27,2447159.586,2484082.532,1366413.839
3724711.706,2701304.892,2609773.94,2573308.82,2597141.714,2480970.309,2444247.334,1386997.616
3788946.119,2663712.094,2578203.832,2551943.488,2594506.52,2491575.914,2480869.938,1398416.842
3740177.347,2706999.526,2577820.841,2556847.259,2586255.242,2464032.241,2484482.695,1361955.606
3779424.619,2665520.493,2616133.667,2552109.682,2635474.584,2480954.734,2489138.961,1385668.154
3747741.723,2702167.459,2590214.933,2589161.867,2596051.429,2452300.928,2467994.174,1370349.498
3783547.622,2665312.49,2608972.209,2553700.772,2631555.772,2458523.963,2451541.216,1363727.128
3775712.932,2696061.713,2580111.531,2592729.683,2586110.162,2450902.956,2455435.721,1368856.271
3764261.961,2694364.361,2600299.831,2556281.829,2628101.602,2491278.565,2477117.576,1367449.847
3785081.185,2669227.234,2579443.621,2555465.284,2631725.151,2451756.734,2490569.309,1377884.076
3739393.552,2670199.446,2574442.703,2596775.902,2595830.122,2451684.811,2498369.534,1371139.018
3791761.715,2664509.391,2578570.013,2578833.365,2643548.176,2492610.608,2452278.333,1378905.983
