O0,O1,O2,O3,Os,Ofast,Optimizers,Parameters
3762859.6,2673124.988,2596498.4,2567801.711,2600485.81,2469801.98,2406509.36,1337921.598
3758062.738,2661164.506,2596126.986,2555230.942,2603322.589,2476531.384,2408501.344,1349527.955
3755816.978,2675163.059,2573844.363,2570739.364,2606482.668,2463082.231,2402346.193,1349815.34
3728872.003,2677405.394,2601902.156,2555254.061,2600715.755,2513413.99,2396816.25,1339692.741
3760924.287,2655643.096,2606048.395,2576933.449,2598352.636,2467545.601,2384277.305,1338488.376
3728181.139,2677359.217,2578044.572,2570462.072,2608533.37,2452380.559,2401846.416,1337822.761
3753573.087,2660062.847,2579332.01,2546662.375,2602971.753,2467495.58,2413044.909,1351170.152
3737516.831,2682197.213,2584092.194,2568574.019,2622893.298,2464387.658,2381430.677,1346804.656
3753041.934,2676459.673,2598131.403,2569387.163,2609079.358,2445071.023,2401758.894,1347834.189
3729209.348,2657720.634,2608098.896,2576056.291,2580334.989,2469609.951,2377449.554,1354445.918
3756956.64,2676790.479,2596189.738,2547705.39,2603553.573,2472803.525,2398910.017,1348538.425
3762485.511,2681483.017,2590184.533,2555176.672,2602143.533,2475807.314,2385558.034,1341839.396
3708332.641,2679437.511,2593928.215,2573572.65,2602376.686,2461291.092,2402104.087,1347791.539
3756845.813,2678900.515,2584748.284,2547010.328,2583185.562,2468731.267,2383754.157,1341344.37
3751251.754,2662112.644,2589123.101,2570171.395,2589777.464,2458904.547,2400379.857,1351590.812
3757326.153,2678501.484,2576516.38,2547113.44,2603247.796,2465413.747,2397757.449,1339440.599
3761272.113,2657390.05,2576666.354,2570164.894,2585746.527,2465879.882,2383386.649,1348754.891
3756484.863,2670254.486,2598467.63,2573034.21,2598474.26,2497434.448,2382834.958,1341197.301
3729872.881,2679895.82,2596303.061,2565745.284,2585244.707,2476823.762,2415052.162,1345854.879
3763779.413,2683870.928,2604352.275,2569875.763,2600947.805,2482142.829,2381177.698,1341504.063
3727562.537,2677825.459,2599100.903,2568058.91,2628579.547,2449918.985,2386903.58,1349483.658
3759897.314,2665535.629,2570813.071,2575273.408,2588729.747,2470133.568,2402154.912,1343912.794
3747333.033,2687945.737,2579508.059,2574538.536,2603795.425,2451345.345,2385991.326,1337951.166
3755316.586,2659880.308,2597334.893,2613259.355,2602879.364,2467738.296,2381156.656,1337955.152
3730112.625,2681915.89,2576276.273,2569941.677,2585000.556,2457484.755,2406921.149,1341744.67
3763760.767,2665885.846,2595088.586,2574592.264,2590578.381,2449799.213,2379143.433,1354995.252
3725973.161,2677405.141,2601640.901,2573891.967,2580685.862,2457412.685,2403130.967,1341266.096
3723405.622,2682524.085,2600415.797,2581794.489,2615127.739,2496707.948,2400171.732,1357197.211
3758437.72,2659543.04,2587557.205,2562119.703,2580973.713,2462640.481,2379964.958,1342981.817
3730324.747,2677561.447,2595090.121,2573425.691,2605276.985,2466248.319,2403239.448,1350687.52
3734505.155,2656187.059,2576743.836,2549118.371,2600825.454,2451059.644,2379602.665,1348403.193
3749407.83,2685190.034,2595236.899,2556252.142,2593234.1,2459547.203,2376750.428,1339420.071
4020505.359,2635412.869,2595750.721,2572279.859,2604851.227,2476101.872,2397386.168,1351114.974
