O0,O1,O2,O3,Os,Ofast,Optimizers,Parameters
3768685.319,2724552.592,2764185.207,2612691.165,2701850.842,2459878.991,2487381.004,1400799.429
3946328.588,2704148.893,2644910.396,2604257.263,2781031.431,2524195.7,2494893.771,1371297.126
3738992.052,2722364.537,2631531.509,2711092.19,2696676.5,2506668.532,2547066.376,1396954.489
3766460.281,2684220.724,2651462.383,2615379.111,2662255.271,2499225.767,2478188.625,1405294.704
3815523.396,2702956.852,2612221.112,2670899.762,2740685.244,2455447.478,2474625.507,1465857.602
3928394.076,2816629.423,2692668.749,2620368.542,2603390.473,2469356.732,2550520.485,1628491.146
3775964.718,2759076.924,2613224.309,2610282.962,2683886.619,2462397.137,2498413.605,1782775.214
3966873.154,2787136.447,2680583.337,2607628.955,2679986.065,2475079.299,2470571.967,1462299.977
3961459.24,2701392.47,2615054.93,2616015.277,2766107.171,2456714.591,2599020.074,1451483.768
3780825.275,2812922.732,2623064.247,2686032.672,2687859.667,2476618.436,2503218.649,1496379.559
3872373.051,2675149.593,2606490.643,2599508.086,2728893.525,2479268.961,2561846.978,1383494.382
3959600.075,2786686.1,2680544.745,2660810.59,2667377.193,2454824.203,2471175.536,1393954.965
3763407.197,2718785.277,2730605.264,2590971.284,2670278.181,2493165.194,2506740.305,1385579.306
3824024.967,2714717.115,2606402.31,2580283.316,2790722.217,2472059.093,2474970.705,1392041.859
3783573.164,2822284.889,2711668.65,2590797.865,2671702.728,2495107.368,2580322.152,1458016.312
3817445.929,2716112.182,2657183.823,2689779.488,2697955.593,2462545.002,2486546.689,1383259.373
3771389.162,2890221.27,2620973.831,2608050.257,2784187.706,2446975.413,2521786.883,1426528.867
3946679.482,2719015.395,2775124.805,2613628.624,2757849.211,2482114.135,2604802.865,1385994.052
3841716.432,2733235.854,2627040.636,2572334.454,2622754.496,2475016.768,2548273.58,1458963.906
3904388.893,2723338.463,2692033.68,2605298.103,2733710.432,2510071.273,2480626.451,1381166.05
3818565.788,2779830.533,2663416.552,2603896.908,2632953.252,2482664.397,2508014.547,1386225.507
3772210.084,2733725.405,2617039.583,2577332.968,2781635.705,2570349.049,2495137.69,1385282.623
3806146.316,2708033.214,2647339.15,2605066.726,2768680.57,2502146.573,2524479.736,1448419.144
3769447.122,2832518.981,2615495.496,2632740.53,2680474.433,2524204.551,2475404.33,1439713.55
3826450.049,2713178.423,2649127.006,2701990.677,2615323.139,2559652.511,2565731.372,1378355.665
3781195.649,2801163.482,2699345.036,2582936.076,2695599.06,2499702.622,2507485.974,1453142.742
3824351.103,2731644.028,2813287.709,2604317.684,2669967.842,2517215.99,2521899.042,1415146.663
3863859.985,2735619.416,2738115.695,2663643.357,2624468.894,2491285.389,2856944.428,1396282.93
3953578.128,2805473.857,2790965.484,2601089.799,2745570.29,2510668.114,2475577.169,1437694.22
3806299.862,2700472.086,2613326.591,2571484.904,2705836.142,2518766.208,2467421.148,1405856.756
3979762.886,2693776.188,2611065.919,2654710.874,2690182.396,2512725.021,2480531.046,1432546.126
3958598.123,2816189.776,2630957.178,2610982.795,2784179.441,2473330.332,2489121.162,1623032.231
3874063.642,2685582.268,2615459.942,2635374.919,2645146.307,2516976.179,2493430.524,1399689.507
3787913.912,2699904.824,2647577.534,2565056.326,2653419.327,2503148.89,2483862.418,1387234.631
3801231.693,2842438.814,2639116.886,2611094.906,2660577.717,2477760.269,2589111.819,1395479.731
3861394.97,2811311.181,2702456.496,2685628.471,2645085.644,2479987.851,2506010.904,1398876.084
3981712.047,2853256.93,2643923.067,2604824.436,2705388.644,2627784.196,2461361.555,1390961.57
3826363.447,2750960.085,2740273.453,2602041.366,2630700.146,2498008.927,2489473.212,1509323.005
3931058.496,2836580.107,2655021.388,2596711.766,2614994.767,2482973.111,2506408.454,1424461.002
3802813.95,2849349.179,2689614.877,2607980.544,2609819.52,2483485.258,2471715.538,1373342.459
3959494.345,2735375.087,2649248.763,2610525.178,2759540.754,2538017.892,2491130.376,1372241.116
3781884.235,2683767.838,2654495.356,2578875.4,2659450.614,2524631.112,2596786.226,1386839.172
3998530.467,2867581.608,2752944.566,2584841.817,2784367.4,2467432.003,2574076.82,1398646.782
3811627.695,2735063.183,2748903.597,2587617.934,2619183.142,2520874.39,2469973.868,1386695.124
3795622.299,2792445.149,2765230.016,2568168.29,2616995.062,2588886.233,2494705.848,1393615.453
3767618.02,2872582.105,2611055.049,2654934.626,2683714.968,2685035.225,2463337.943,1373428.346
3955256.244,2863328.256,2905848.881,2612279.675,2619435.014,2603158.839,2497331.548,1394899.978
3780747.659,2805411.172,2650929.792,2714068.383,2613814.576,2670920.585,2621873.084,1749222.852
3955716.37,2692823.912,2689983.639,2607551.368,2714754.391,2802941.983,2493555.945,1457637.47
3802447.664,2685965.697,2638914.809,2585805.663,2702271.603,2569574.217,2463324.93,1411980.469
