O0,O1,O2,O3,Os,Ofast,Optimizers,Parameters
3773699.309,2666261.068,2576848.861,2584687.25,2619117.296,2455677.7,2430282.8,1359643.312
3738351.869,2667571.175,2610861.442,2574024.465,2590783.803,2454513.601,2407126.04,1339815.551
3773233.475,2662063.112,2614442.893,2561537.968,2593700.304,2489315.963,2431373.275,1357029.087
3731839.386,2653690.713,2575456.977,2556428.586,2589822.466,2474756.343,2404925.648,1336103.401
3774378.621,2667632.399,2612863.482,2583008.142,2588098.042,2456424.963,2425952.356,1338564.821
3743004.043,2668274.745,2609741.228,2553756.388,2615017.768,2484013.276,2402936.884,1335776.193
3762117.847,2755492.595,2614882.267,2559464.282,2610939.867,2459445.505,2443446.128,1344378.989
3729982.831,2696283.231,2584863.675,2552123.583,2582361.237,2464279.465,2410124.929,1349267.071
3734124.943,2711791.544,2617682.778,2552549.64,2584061.585,2456856.711,2417839.584,1337622.988
3777290.038,2662708.341,2605662.919,2571713.702,2587168.896,2455235.061,2419410.714,1339783.328
3735611.964,2664275.181,2580922.637,2557239.304,2583848.509,2454500.858,2437499.609,1348612.72
3739655.086,2667341.072,2581591.178,2591405.619,2582498.548,2453206.122,2442078.179,1337020.344
3775893.246,2660761.849,2583132.32,2551317.319,2613775.836,2452946.056,2404878.709,1353497.996
3732167.198,2665735.189,2581057.446,2555584.14,2589539.189,2458337.917,2413142.005,1338522.886
3790321.676,2658111.897,2579300.115,2561034.851,2606984.723,2453979.375,2413152.688,1357164.42
3785015.112,2664611.25,2576550.309,2580428.87,2583309.64,2454246.301,2434353.017,1336091.461
3730220.284,2657248.978,2575157.636,2563207.304,2581808.075,2460363.03,2422422.936,1338635.337
3730055.583,2656994.25,2608038.434,2555575.636,2586287.905,2481024.509,2410057.415,1346258.533
3740238.287,2691928.604,2578823.39,2548998.565,2611770.647,2464061.524,2430461.019,1337765.813
3761232.759,2685065.748,2581192.564,2582069.37,2602383.713,2479538.884,2403662.643,1348949.535
3765556.271,2661616.769,2584328.93,2555139.545,2618354.771,2506355.913,2409505.672,1338466.003
3733216.151,2657980.459,2611382.005,2587024.252,2589724.801,2478675.201,2409814.178,1356271.744
3785352.042,2669939.408,2586463.517,2551685.099,2588850.21,2472503.109,2407995.019,1339066.832
3733283.064,2664275.801,2585104.364,2561545.291,2592921.962,2490646.431,2457500.896,1356097.899
3774253.576,2662033.263,2575394.044,2587468.1,2614136.033,2451790.7,2405207.874,1335478.315
3727477.812,2699037.112,2607767.916,2579194.506,2588551.256,2451462.125,2409373.844,1341654.174
3736950.876,2704545.775,2579872.781,2553539.86,2588574.039,2478436.573,2423181.928,1337055.579
3766574.609,2689696.388,2578647.426,2585754.255,2589104.877,2453781.01,2407463.654,1344920.058
3776345.328,2669984.685,2613254.901,2554533.897,2583513.091,2475393.303,2509376.468,1348737.03
3730185.483,2656302.442,2595340.4,2577636.525,2586869.463,2466496.104,2409596.661,1337838.846
3767343.275,2688131.741,2614952.875,2553460.822,2625169.597,2455179.288,2412439.454,1348309.107
