O0,O1,O2,O3,Os,Ofast,Optimizers,Parameters
3733340.429,2687259.995,2571436.088,2564313.335,2605971.91,2449699.44,2429742.01,1451273.106
3756782.428,2673032.026,2600081.004,2585712.283,2585831.379,2467067.872,2421341.328,1462022.196
3729033.912,2658216.953,2583891.979,2556904.067,2589696.704,2463946.785,2419728.65,1464412.777
3757931.583,2677929.05,2599910.106,2567283.642,2606860.38,2470480.586,2405808.167,1473688.941
3757126.375,2665063.446,2583887.206,2558266.861,2583396.146,2467208.009,2422421.027,1454009.561
3734526.331,2677717.485,2595409.181,2556039.142,2600800.981,2461065.26,2420782.983,1456100.456
3760688.004,2678692.814,2581341.601,2572754.418,2609139.05,2489620.529,2407986.018,1468183.972
3726773.275,2670130.066,2603545.499,2557066.413,2582308.804,2456303.181,2400360.015,1465675.312
3758877.893,2651845.759,2601901.039,2546684.821,2602812.748,2450262.337,2419392.82,1454532.748
3759129.088,2675784.391,2593137.864,2551389.412,2592095.323,2483120.708,2407033.71,1464795.037
3735258.554,2660987.332,2599879.05,2572711.324,2607449.895,2471020.433,2416167.437,1466823.991
3776825.905,2680125.645,2594326.582,2572293.221,2603130.531,2468389.261,2416165.51,1469720.169
3728226.34,2676263.444,2582063.455,2575037.617,2584806.754,2449913.174,2415773.972,1462213.998
3756258.3,2655783.073,2582422.791,2567551.068,2607241.626,2469838.584,2420769.794,1470574.226
3733475.41,2680604.424,2581844.911,2567778.474,2583334.677,2464701.745,2427179.905,1459087.546
3752691.582,2683498.144,2575141.094,2573405.643,2607274.372,2473542.886,2428311.599,1464699.893
3758283.109,2676553.972,2578801.597,2563825.978,2595178.086,2466835.086,2411754.005,1451763.777
3775896.41,2664241.03,2595468.079,2574290.228,2589304.159,2469132.323,2398071.666,1468793.14
3729418.663,2689447.706,2594388.638,2582012.759,2602271.035,2450503.114,2416297.142,1459267.145
3734299.123,2686442.695,2577309.017,2568308.37,2585467.631,2469539.612,2419270.393,1457569.465
3773906.414,2675932.0,2600056.44,2573995.817,2587265.896,2471030.894,2411072.641,1465226.932
3755416.799,2666603.971,2593208.466,2584348.094,2610383.277,2467004.459,2417052.813,1469538.402
3764260.312,2675304.252,2600143.842,2574316.415,2605848.685,2464861.255,2417886.021,1464779.971
3758699.352,2676219.669,2598881.21,2569842.36,2586723.814,2466759.105,2422904.694,1463720.982
3774213.814,2670797.928,2600499.151,2560915.713,2596871.14,2455453.964,2422501.731,1464425.072
3760668.932,2672886.567,2582629.279,2555550.351,2607576.935,2471984.935,2412371.147,1467060.362
3748333.262,2699572.603,2587201.589,2569457.381,2605544.959,2458530.445,2402609.954,1455029.246
3728765.867,2690035.774,2582140.698,2559369.494,2604410.711,2455704.37,2427878.197,1469031.24
3760516.66,2693439.373,2594312.258,2561557.322,2592443.15,2467970.386,2420798.32,1461338.563
3760157.16,2674091.925,2602367.93,2574215.189,2597612.236,2472484.267,2400516.354,1468909.198
3720029.278,2679850.591,2583215.115,2568707.787,2595320.121,2471574.96,2427591.48,1466642.246
