,O0,O1,O2,O3,Os,Ofast,Optimizers,Parameters
0,3720029.278,2651845.759,2570160.894,2546684.821,2581113.093,2449699.44,2392187.926,1451273.106
1,3813855.617,2723968.797,2688427.303,2627978.216,2697933.209,2490836.183,2445252.773,1473688.941
