O0,O1,O2,O3,Os,Ofast,Optimizers,Parameters
3729389.03,2663332.21,2582840.702,2562312.299,2596794.022,2459192.71,2433893.664,1364239.259
3736024.93,2662041.406,2577580.728,2563076.36,2589737.139,2449831.567,2433141.756,1368165.883
3731004.749,2665303.627,2568818.439,2556152.524,2589771.985,2445630.952,2426390.938,1368691.823
3733174.547,2655003.474,2581366.791,2551012.202,2594180.402,2456705.445,2426820.476,1372707.545
3745866.267,2692062.933,2570134.697,2560554.237,2590980.079,2446741.415,2434200.261,1368415.606
3735528.673,2664951.594,2585757.753,2553153.482,2613028.912,2470352.322,2426171.736,1365267.303
