O0,O1,O2,O3,Os,Ofast,Optimizers,Parameters
3741585.615,2667461.249,2612735.372,2560845.773,2587573.883,2454767.038,2393274.48,1360576.47
3726524.423,2665470.482,2590010.629,2557904.206,2590248.598,2450569.123,2390579.804,1356667.94
3730603.721,2669527.208,2581143.242,2553927.703,2588010.398,2453852.307,2385205.989,1355776.744
3744475.594,2665908.491,2578080.582,2564542.672,2589475.595,2459412.276,2379684.241,1353597.826
3722654.862,2664211.503,2587545.6,2563107.879,2593426.158,2619893.589,2390417.535,1360844.663
3744257.781,2657758.329,2573967.65,2557819.585,2584953.309,2454966.691,2393854.458,1359002.991
3736294.286,2678421.795,2581264.367,2557612.284,2588275.617,2467116.888,2391181.689,1356032.012
3746993.499,2670255.423,2579740.486,2560894.685,2617238.142,2456896.41,2389733.478,1360091.735
3739176.874,2678686.807,2577447.148,2563672.29,2594436.289,2458123.617,2385607.426,1358129.719
3731193.412,2664292.769,2576962.741,2560532.283,2594633.852,2462442.031,2387283.836,1359839.978
3740615.587,2674480.651,2596288.312,2558886.025,2588463.264,2454353.018,2386266.139,1356300.572
3743250.834,2666261.771,2579928.164,2558824.927,2591292.523,2469802.216,2386134.415,1359197.224
3749586.909,2670616.954,2585319.608,2554826.681,2585729.609,2456778.025,2402361.982,1362019.254
3738511.113,2659602.223,2590345.576,2548836.832,2593313.122,2461520.896,2383355.669,1360290.382
3729667.821,2665346.643,2590484.182,2565588.678,2581726.032,2454640.053,2389447.143,1355993.811
3818220.612,2658682.724,2593460.936,2554175.703,2580672.158,2450384.822,2385889.694,1363657.808
3730249.962,2665266.3,2587287.447,2564270.194,2588319.622,2485577.442,2397114.679,1366841.284
3728032.996,2669941.97,2590169.884,2546447.99,2579315.17,2461292.43,2390129.515,1354568.626
3726158.089,2663859.784,2587694.337,2554390.34,2591504.066,2458516.567,2384398.149,1363463.044
3733902.868,2664127.41,2647972.404,2562183.7,2586962.032,2461462.909,2379590.327,1352000.197
3746760.329,2661994.457,2581859.254,2556008.156,2585771.963,2452069.504,2383685.672,1362625.925
3730133.035,2655280.72,2589661.615,2557835.333,2595287.481,2457371.526,2388325.198,1359712.479
3741372.755,2669076.632,2583765.203,2561314.914,2587346.769,2465660.558,2377639.059,1352772.297
3735648.019,2658117.774,2584757.475,2558129.872,2597181.848,2453475.202,2392646.386,1361018.469
3738018.458,2668738.468,2577947.83,2556857.225,2588004.2,2467428.779,2379957.615,1352934.825
3779744.866,2658158.599,2573433.065,2561260.142,2581741.142,2467729.282,2392391.487,1351549.485
3731587.127,2663910.722,2584184.891,2561896.747,2581246.894,2449094.548,2380371.176,1356159.32
3741260.108,2675553.222,2584258.086,2553383.97,2580262.994,2453417.252,2379713.248,1360085.475
3727914.698,2659808.903,2577446.345,2561998.736,2586330.545,2464030.266,2387557.578,1360060.013
3727550.476,2672843.527,2588475.766,2568791.727,2593489.664,2462882.705,2382673.235,1358331.513
3742755.607,2671761.909,2587547.462,2558969.092,2584213.746,2451340.381,2386284.15,1357804.901
3768301.762,2668119.324,2591932.625,2559416.079,2592696.99,2456336.401,2472749.779,1354529.921
3750673.813,2667302.653,2584637.221,2560789.701,2583164.378,2456541.187,2386187.394,1367463.459
3731747.151,2664279.609,2599931.778,2564279.286,2599272.571,2444390.514,2388927.435,1360907.577
